Tweet,Target 1,Stance 1,Target 2,Stance 2,Test/Train/Dev
"@EthanObama many other sickos leading the world ""down the tubes."" #DonaldTrump #BernieSanders #HillaryClinton all are working for the same.",Donald Trump,AGAINST,Hillary Clinton,AGAINST,Train
Can you IMAGINE... How EPIC will it be... To watch #Trump2016 OBLITERATE #HillaryClinton in the debates?!?! That could be a pay per view!,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"Vote for #Hillary A Vote for #WallStreet ~#DonaldTrump ONLY #Progressive in 2016~But He Must ""Hide"" It Under #Foxnews #GOP Crazy Talk~ #nyt",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Re-Twitter hashtag #teamtitzka if you no standing for sausage legs and cabbage brain #hillary2016. We needs Russian bear leader #trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"How will #Bernie & #Hillary get the economy going 'specifically'? By taxing 'billionaires,millioanires & EVERY working American? #TrumpToday",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"#HillaryClinton turns 68 today, which begs the question; what do you get for the woman who already deletes everything? #TrumpTODAY",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"@realDonaldTrump took  $1M LOAN,paid it off & made BILLIONS.#Hillary,#JEB BEG for money & give nothing back but political favors.#TRUMPTODAY",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Only fools & liberal Democrats deny that America is in full decline. #TrumpTODAY #Hillary #HillaryLiesMatter,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
@realDonaldTrump the next president of the united states. #TrumpTODAY cant wait till he beats that POS #HillaryClinton,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#TodayShow town hall 4 #HillaryClinton held at Jr College #DonaldTrump meeting held at Country Club...just an observation #MSNBC #CNN,Donald Trump,NONE,Hillary Clinton,NONE,Train
@rushlimbaugh do like #Hillary tell #GOP it's not your fault #Jeb isn't winning it's someone else's job & you weren't told lol #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
For birthday of cabbage brain #hillaryclinton I vomit on birthday cake then feed it to rats on train. I no like her sausage legs #trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Want a Graph?  DumbAss Scale? @BeltwayPanda 100% Stupid #Obama 95% Stupid #HillaryClinton 90% Stupid #Trump 100% Genious!  Vote #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
The first presidential candidate to add banning Bluetooth earpieces to their platform gets my vote #Hillary2016 #Bernie2016 #Trump2016,Donald Trump,NONE,Hillary Clinton,NONE,Train
@NBCNightlyNews @chucktodd confused by tonight's analysis don't believe the Dem polls but trust the Repub polls? #Hillary2016 #Trump2016,Donald Trump,NONE,Hillary Clinton,NONE,Train
@BretBaier U shud hav me on if @MayorEmanuel doesn't hire me cuz I'll write #Trump2016 & SHAKE-UP d 2016 pres race #Hillarybabyitwillbehard!,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"#Hillary denying VA mismanagement, only lip service to our vets. #Trump rolling his sleeves,getting it done!Ref: Sioux City Rally #Trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
@IngrahamAngle @glennbeck Parsley makes breath better. Tastes so bad I need a mint. #DonaldTrump similar. Makes me want to vote for #Hillary,Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
"I go sleep. I dream #MikeTyson take cabbage brain #HillaryClinton in ring of boxing and punch face, leave eye that is black #trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
i cant watch #HillaryClinton no more im getting sick from her lying :( and corruption save me from her please #Trump2016 #Carson,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Just a reminder that Herman Cain was leading in the Presidential polls 5 years ago.  #DonaldTrump #BenCarson #HillaryClinton #FeelTheBern,Donald Trump,NONE,Hillary Clinton,NONE,Train
Just a reminder that Herman Cain was leading in the @GOP nominee polls 5 years ago.   #DonaldTrump #BenCarson #HillaryClinton #FeelTheBern,Donald Trump,NONE,Hillary Clinton,NONE,Train
"America will send ground troops to war likely in 2-4 years. Regardless, if #HillaryClinton or #DonaldTrump are president. A recession too.",Donald Trump,NONE,Hillary Clinton,NONE,Train
"To be honest, I'd feel safer with #Hillary as President than I would with #BenCarson.  I pray to God that @realDonaldTrump wins. #Trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#donaldtrump already complaining tonight's debate unfair.  Now he's predicting future.  Is there ANYTHING this man can't do? #cnn #Hillary,Donald Trump,AGAINST,Hillary Clinton,NONE,Train
Quando mi prende lo sconforto penso che qualcuno potrebbe ritrovarsi un presidente come #DonaldTrump o #HillaryClinton e mi sento meglio.,Donald Trump,NONE,Hillary Clinton,NONE,Train
Hillary happily worked for Barack Obooncoon. That makes her a nigger-enabler! She cant be trusted!  #Trump2016 #tcot #GOPDebate #Hillary2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
I want a debate b/t Donald Trump and Hilary Clinton but it's their spouses on stage instead #DonaldTrump #HillaryClinton #debate,Donald Trump,NONE,Hillary Clinton,NONE,Train
"#Huckabee: ""#DonaldTrump would make a better President every day of week and twice on Sunday, rather than #Hillary."" #WhoCanBeatHillary",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Detroit is proof that throwing more money at education does not equal better proficiency & higher graduation rates. #Hillary2016 #Trump2016,Donald Trump,NONE,Hillary Clinton,NONE,Train
"#Trump #Trump2016 came to you with sole purpose of distracting from true #Liberty candidate, #RandPaul and to make #Hillary more palatable",Donald Trump,AGAINST,Hillary Clinton,AGAINST,Train
Notice how #HillaryClinton was able to get through over 7 hours of the #benghazihearings and #DonaldTrump can't handle 3 hours of a debate,Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
After seeing the #Republicans candidates deal with the #liberalbias media I'm proud to say lying #Hillary does not stand a chance #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
A Challenge.. Ride with a cabby (like me) for a weekend. Then you will know real people #Hillary2016 #Trump2016 #Carson2016  #sanders2016,Donald Trump,NONE,Hillary Clinton,NONE,Train
#HillaryClinton has done nothing to improve YOUR life over the last 10 years. How would a new title change that? Wake up! #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"#Hillary2016's foundation donations are rolling in, guaranteeing her plenty of favors to owe & lots of voters to ignore. #Trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"Mr. *********, that's borrowed money your playin with, it's not yours.  #Trump2016 #TrumpTrain #Hillary2016 #HillNo Hillary Clinton",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"@Beansiesdaddy @realDonaldTrump  dumb cabbage brain and dumpling mouth #hillaryclinton say only dumb words, no have smart words. #trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
@lonepatrick Your pathetic rants fall on deaf ears! He will be our next POTUS he will #MakeAmericaGreatAgain #Trump2016 #Hillary4Prison!,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"Next President voters, don't let fake lying people or the media brainwash you.  @realDonaldTrump #Trump2016 Trump #Hillary2016 Hillary Rubio",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Panel of #Democrats discussing how best to beat #Hillary-Common sense would dictate the #GOP do the opposite-so vote #Trump #Trump2016 #MTP,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Rational question: @realDonaldTrump supported #HillaryClinton  Now #Trump supports Trump Would the real #DonaldTrump please stand up.,Donald Trump,AGAINST,Hillary Clinton,NONE,Train
@mrdavidflane @mch7576  There in a total mess  There best shot at beating #Hillary2016 is #Trump2016 and that's not going to happen,Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
@realDonaldTrump He is the one candidate that will beat #Hillary in a landslide.  With the other candidates it's a crapshoot. #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
we Hillary Republicans are picking up steam! Just had phone call w/supportive Romney official. #HillaryClinton #Trump2016 #GOPDebate #tcot,Donald Trump,NONE,Hillary Clinton,FAVOR,Train
#GOP bind: don't withdraw the #troops. #Obama sends them in and silence. Stepped into their own trap. Oops. #hillary2016 #Carson #Trump2016,Donald Trump,NONE,Hillary Clinton,NONE,Train
"Donald J. #Trump says ""it's clear"" #HillaryClinton does not want to run against him in the general election. #Trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#Obama to #HillaryClinton we'll see the power of election corruption with #MSM full support. We need @realDonaldTrump leadership. #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#DonaldTrump has no clASS and lacks diplomacy. Is this really what intelligent #Americans want. #Trump will never beat #Hillary. #RNC #DNC,Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
Remind me again which candidate wants to give real #journalism a chance at reality & 'fix what's broke' in #media? #Hillary2016? #Trump2016?,Donald Trump,NONE,Hillary Clinton,NONE,Train
"Overheard on Silver Line: ""If forced to choose between #DonaldTrump & #HillaryClinton I won't vote. So that will be another vote 4 Hillary.",Donald Trump,AGAINST,Hillary Clinton,AGAINST,Train
"@HillaryClinton ""shes about as likeable as elective surgery. everytime she speaks an angel shoots a cherub""#hillary2016 #trump2016 #cruz2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
People I won't vote for this 2016 election: everyone involved. You all suck. Ron Paul was our only hope.  #Hillary2016 #DonaldTrump,Donald Trump,AGAINST,Hillary Clinton,AGAINST,Train
@Morning_Joe #Rubio's history and Clintons - not good.He's counting on politics - power - to make himself very rich. #Trump2016 #Hillary2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
@KarlRove has zero credibility. #Trump2016 would beat #Hillary like a drum in the general election. Put Rove out to pasture! #HappeningNow,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"Count on lying press who call pro-White White Nationalists ""Neo Nazis"" to print ""Lesbian #HillaryClinton "" #whitegenocide #CNN #DonaldTrump",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"#DonaldTrump, a sick, disoriented, uneducated, selfish man is this close to being the most powerful man in the world. Wake up. #Hillary2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#BenCarson wants to nix Social Security and #HillaryClinton thinks Climate Change is behind the Refugee Crisis - How can #Trump2016 lose?,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
YES!! Why does #DonaldTrump spend so much time attacking other (R)Candidates instead of #HillaryClinton ?  ..tired of bully-ism. #TheFive,Donald Trump,AGAINST,Hillary Clinton,AGAINST,Train
"There is plenty of time to focus on #Hillary, after #Trump2016 wraps up the nomination. First things first! #TheFive",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Statistic: More people picked Bit O Honey as their favorite Halloween candy than support Jeb Bush for president. #Trump2016 #Hillary2016,Donald Trump,NONE,Hillary Clinton,NONE,Train
"#silymi Wendy,  Sorry Darling but you my time you do but you don't speak for every AMERICAN, #DonaldTrump  is top run ,#HillaryClinton jail",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"Mexican Word of the day = Effort.  Every time I eat a taco, effort! thank you, i'll be here all week #immigration #Trump2016 #Hillary4prison",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"Live from New York its #DonaldTrump! If #SNL isnt as nice to him as they were to #Hillary, maybe hell buy NBC..Youre fired!",Donald Trump,FAVOR,Hillary Clinton,NONE,Train
If Hillary loses in 2016 without question POTUS will pardon her and her minions on 1-20-17 #Hillary #Hannity #Rudy4AG #DonaldTrump #RUSH,Donald Trump,NONE,Hillary Clinton,AGAINST,Train
@HillaryClinton @MikeyLikesItNY How about finding legal Americans that aren't felons find jobs first?  #Hillary4Prison #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
NO More #Hillary2016 LIES & Deceit! NO more PERVERT #BillClinton & WE don't need Dr #BenCarson! WE Need a BUILDER! WE need JOB's! #TRUMP2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
NO More #Hillary2016's LIES (Deceit) & her PERVERT hubby Bill! WE don't need DR #BenCarson! WE Need a BUILDER! WE need JOBs! #TRUMP2016 #SNL,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Many #voters waking up=NO difference in #MSM establishment candidates #hillary #rubio leaving #trump #carson to make a real diff #trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#DonaldTrump Could Be FAKE #BernieSanders~Just #Hillary Gone Hysterical~No Change JUST Muddling into Collapse #msnbc #foxnews #nyt #wsj #cnn,Donald Trump,AGAINST,Hillary Clinton,AGAINST,Train
Don't fall for #DonaldTrump! He's a Democratic plant to enrage #Hispanics against Republicans so #HillaryClinton will get their Vote!,Donald Trump,AGAINST,Hillary Clinton,AGAINST,Train
@Suthen_boy @10NewsPhillips #DonaldTrump #HillaryClinton Neither poves they can run this country. If it's down to them then may not vote.,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
It's unbelievable the power of the media.  We need to turn the table and kick those assholes to the curb #Trump2016 #HillaryForPrison2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Does anyone recall the media asking Obama about his college transcripts?  No. #Trump2016 #BenCarson #HillaryForPrison2016 #WakeUpAmerica,Donald Trump,NONE,Hillary Clinton,AGAINST,Train
@nbcsnl the music is calling and we're anticipating 40 gazillion viewers tonight.@realDonaldTrump #Trump2016 #hillarysucks. Record viewers,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
If @DonaldTrump becomes POTUS (god forbid) he will put his name across the @WhiteHouse like his other buildings #Trump2016 #Hillary2016,Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
Why did #snl open the show with libs instead of #DonaldTrump? If I recall lyin ass #Hillary opened the show but NOT with her screwed emails,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"@farrenkopf @realDonaldTrump Crazy or blind, death and mute? You liberal troll. #TRUMP IS GOING TO BEAT #Hillary  LANDSLIDE. #TrumpTsunami",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
All hype about self aggrandising #DonaldTrump He'll never be US President. Watch Jebbie come up from behind & President #HillaryClinton win,Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
@washingtonpost They should ALL expect to have everything disclosed. Smile you're on Candid Camera! #GOP #Hillary #BenCarson #DonaldTrump,Donald Trump,NONE,Hillary Clinton,NONE,Train
"Trump hit it out of the park, the ratings prove it. That's the problem with #HillaryClinton & the dems, nobody wants to watch.  #Trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Sounds unusual but a #Trump #Rubio ticket will drop kick #Hillary If the #FBI don't get her first of course @realDonaldTrump #Trump2016 #GOP,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
No surprise #DonaldTrump had the biggest ratings on #snl. No surmise he clobbered #HillaryClinton's ratings when she made a #snl appearance,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"Don't fall for fake Republican #DonaldTrump! He is stealing the thunder from viable candidates, and alienating #Hispanics, all for #Hillary!",Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
"It amazes me, the idea of how perfect these characters are created, #HillaryClinton #DonaldTrump #JepBush even Bertolt Brecht would envy em",Donald Trump,NONE,Hillary Clinton,NONE,Train
"If i hear about another 'poll' anytime soon, I'm pretty much gonna fucking scream. #Trump2016 #HillaryForPrison2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#Hillary is the worse #Democratic candidate in years We cannot hand her the #WhiteH with a Nationally unalectable candidate #Trump2016 #GOP,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#DonaldTrump #HillaryClinton u r making mockery of office u seek with stupid debates and snl #SNL call me old fashion but u r idiots,Donald Trump,AGAINST,Hillary Clinton,AGAINST,Train
"""I'm really optimistic we'll have better leadership in the White House in 2016,"" said no one ever. #Election2016 #Hillary2016 #Trump2016",Donald Trump,AGAINST,Hillary Clinton,AGAINST,Train
"Monday Night RANT! #Obama SUCK's,!#Hillary2016 doesn't SUCK anything! #Bernie2016 is  FU-King Communist!  #TRUMP2016 will BE a GREAT #POTUS!",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"If you are a real #Hillary SUPPORTER.. And you support a VILE, CORRUPT, Pathological Liar.... YOU SHOULD SEEK PROFESSIONAL HELP! #Trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"I endure watching the Party of Crazy Debates, tonight. Barely! I did expect more of #DonaldTrump, I must say. #RepublicanDebate #Hillary2016",Donald Trump,AGAINST,Hillary Clinton,NONE,Train
"I endured watching the Party of Crazy Debates, tonight. Barely! I did expect more of #DonaldTrump I must say. #RepublicanDebate #Hillary2016",Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
"#Trump2016 can and will beat #Hillary. Early polls already show him 2-3% up on her. If Repubs believe & get their asses out & vote, he's in-",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"What, #Jeb? #Hispanic puppet ruler. #Marco? Ditto. #Rand? #Jindal? I'm getting very depressed lol. #Hillary had someone whacked! #Trump2016-",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"Thanks for the thanks today. If you really want to thank a vet, do us a favor and don't vote for #Hillary in 2016. #Trump2016 #Carly2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Trump represents whats wrong with our country.  We've become a nation of mean spirited loud mouths. #DonaldTrump   #Hillary2016 #bekind,Donald Trump,AGAINST,Hillary Clinton,NONE,Train
"If Hillary wins, she will be the 1st US woman president. If Trump wins, he will be the last. #Trump2016 #Hillary2016",Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
Every #SecretaryofState by definition creates Top Secret and Classified communications Shes well aware Jail for #Hillary #GOP #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"I find it disturbing that the people who think #DonaldTrump is offensive would vote for lying, murdering #Hillary2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
On one side we have the #BlackLivesMatter #Hillary crowd and the other #Trump2016. Can't we just find someone less caustic?,Donald Trump,NONE,Hillary Clinton,NONE,Train
#varneyco your right! We don't hear much about #hillary on #foxnews only attacks on #Trump2016 WHY?? bc your PRO-AMNESTY and voters aren't,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"@realDonaldTrump ""He's not a politician"" is not a reason to not vote for Trump, it's a reason TO vote for Trump  #Trump #Trump2016 #Hillary",Donald Trump,FAVOR,Hillary Clinton,NONE,Train
"Head to head match up, #DonaldTrump and #HillaryClinton would be judges unanimous decision for #Trump. She wouldn't know what hit her.",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"@MichaelYarnell2 imagine #DonaldTrump on a debate stage with #HillaryClinton. Need I say more, just imagine  it for one second. Glorious",Donald Trump,NONE,Hillary Clinton,NONE,Train
Stupid liberals who vote for #Hillary will cause Paris to happen in America. Only #Trump is telling the truth. #Trump2016 #HillaryClinton,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"@LarrySabato #Hillary, #Bernie & O'malley will trip over themselves to defend #Islam & denounce #ISIS as if they're not related. #Trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"Dear GOP, #DonaldTrump does drive us as batty as #Hillary drives you, but at least Hillary is not herself batty",Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
"Carson ran a few nurses & may have screw loose, #DonaldTrump ran corporation & has balls to stand up to terrorists like ISIS ...&  #Hillary.",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#DonaldTrump America will never be great if Donald trump is elected. He is an insensitive and judgemental man. #hillaryclinton2016,Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
@dsingram82 #Hillary was Sec of State when ISIS developed. It was her closest job to being Prez and she did NOTHING. Enough said. #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"In the horrific (unlikely) event that #Trump2016 was elected president, I hope #AnnCoulter is the first to be deported. #Hillary2016 #Paris",Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
Bush43 put fear in enemies-BO/Kerry/#Hillary2016-Muslims have to be laughing @ them try 2act tough-Adm destroyed US fear usImage #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
(RS) who would you rather have as president? #Hillary #Trump #Hillary2016 #Trump2016 (i don't want either Mattis2016,Donald Trump,AGAINST,Hillary Clinton,AGAINST,Train
The Democrats can't even trend their debate on Twitter weak. I guess a coronation don't need debates #Trump2016 #foxnews #HillaryClinton,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Wow a double Amen!! Both are attacking #hillary !! Loving this ! We need #Trump2016 to kick her ass in a debate #DemDebate She is horrible,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#DemDebate #MakeAmericaGreatAgain #Trump2016  Token white guy talking about taking away the 2nd amendment. showing #Hillary flip flopping,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#HillaryClinton classy and educated as always #DemDebate #DonaldTrump it's good you're watching you can learn something.,Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
Who doesn't want to tune in to see a Trump vs. Hillary debate? Superbowl like ratings. #DemDebate #2016election #Hillary2016 #Trump2016,Donald Trump,NONE,Hillary Clinton,NONE,Train
#DemDebate: My Personal Opinion is #DonaldTrump will be Next #POTUS...#Hillary will Lose Big with Male Voters #msnbc #foxnews #nyt #wsj #cnn,Donald Trump,FAVOR,Hillary Clinton,NONE,Train
"Ha ha ha , they r telling us what we tweeted about!! We can't stand #hillary & her lies! #cbs u r funny tonight  #Trump2016  #DemDebate",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#Hillary exploits women.  Tired of the #vagcard.  She wants to be the 1st woman POTUS.  What difference does it make? Who cares! #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Idea: Cancel #UFC193 and #DemDebate and let's watch #Hillary2016 kick #Trump2016 in the head. I'd give $20 for that fight.,Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
"#DemDebate is such a joke. #Hillary2016 is the only dem runner, the other worthless meat is just for show #tcot #Trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#ParisAttacks  This attack and the Democrat debate GUARANTEE that Trump is our next president!!!  #trump #Trump2016 #Hillary2016 @GOP,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"#Hillary2016 #Trump2016 #GOPDebate   The DEMS hide their liberal candidate debates on sat nights at 8pm...laughable, sad...great for Trump!",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Clinton & Obama policy caused ISIS problem-they want us to let Clinton fix it? A vote for #Hillary2016 is vote for #ISIS #potus #trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#Hillary2016 liar dishonest distrusted #trump2016 seal boarders kick out illegals crush ISIS we need a no nonsense leader like trump potus,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"#OMalley is a clown.  Must give him a balloon for saying #Hillary flip - flops on issues!  after all, she is a #fishybitch! #Trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
@mimimayesTN @Rockprincess818 Your Tax Dollars at Work! Want more of the same? vote #Hillary2016 Want your country back? vote #trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#HillaryClinton wears a wig #DonaldTrump wears a wig. If they don't get party nomination could they run independent as the #NewWigParty?,Donald Trump,NONE,Hillary Clinton,NONE,Train
#HillaryClinton is a pathological liar & a sociopath. @realDonaldTrump needs to be ready for the worst from the Clinton machine. #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
@CharlesMBlow I think if you write your name backwards it is the most appropriate response.  Blow Me Charles #Trump2016 #HillaryEmail,Donald Trump,NONE,Hillary Clinton,NONE,Train
President 72% approval rate w/ Muslims 40.5% w/ Christians! Good luck #Hillary selling weather over security! #DonaldTrump @oreillyfactor,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
