Tweet,Target 1,Stance 1,Target 2,Stance 2,Test/Train/Dev
I notice much more #Bernie fans here on #twitter tonight than #Hillary's!  Is that a sign that #Iowa just caucussed for..#Bernie?#IowaTODAY,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
"I think it's safe to say that, regardless of tonight's results, both #Hillary and #Bernie have much support #IowaCaucus",Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
"#HillaryClinton complains about #BernieSanders use of word ""shouting"" as sexist. Use these: Fracas. Sonance. Clamor. Hurly-burly. Brouhaha.",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
Choices #Sanders - a socialist #Hillary - a socialist murdering liar #Trump - a person that has support Hillary  Is that really a choice?,Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
What do these Big Financial Institutions WANT back for the money that they give Hillary Clinton? #BernieSanders #HillaryClinton,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"#Sanders would raise taxes/lower healthcare premiums. Would be a wash. #Hillary basically said no, your not starting over with healthcare.",Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
#Bernie has supporters because he DOESN'T worry himself with things like #Hillary's emails. Out of touch to say that is the difference.,Hillary Clinton,NONE,Bernie Sanders,FAVOR,Train
@dfwlibrarian @cspanwj They've spent 30 years actively & robustly hating #Hillary. #Bernie has been in trenches working w/ both sides,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
@mirakarell I NEVER heard #Hillary mention it before last week - clearly #Bernie's point has made impact! Likely #CFR told her to adopt it.,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
#HILLARY2016 runs on OBAMA'S numerous accomplishments #BernieSanders is running away cuz he cant lose his older white men base like #Trump,Hillary Clinton,NONE,Bernie Sanders,FAVOR,Train
"Honest question @lenadunham, why don't you support #BernieSanders over #HillaryClinton? Given your stances I thought you'd support Bernie",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
"#BernieSanders is running an extremely clean campaign. Nobody can take that away from them, not even the DNC. #DemDebate #Hillary2016",Hillary Clinton,NONE,Bernie Sanders,FAVOR,Train
#IowaCaucus win for #HillaryClinton in  state which is more inclined 2 #BernieSanders massive boost for hillary while danger sign for bernie,Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
"Please stop gesturing to #HillaryClinton every time you mention women, #Bernie. We're all aware of what one looks like. #DemsDebate",Hillary Clinton,NONE,Bernie Sanders,AGAINST,Train
Let's see #Hillary & #Donald were best friends. Now helping each other all the while ignoring the #BernieRevolution....#NOCORONATION please.,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
Now its the time the Bernie base votes over and over on online polls to post everywhere online lol #DemDebate #BernieSanders #HillaryClinton,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
"I like #Bernie and #Hillary, I just strongly believe Hillary would be a more effective president. Experience matters.",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
#DemDebate #BernieSanders #HillaryClinton Moderators/media IGNORING the most immediate/biggest issue.  AGAIN.  When will the media step up??,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
#Hillary says we can't. #Bernie says we can. One of them will help you fight. The other will fight against you. She's on the other side.,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
this is bigger than an election. organizations are literally telling us who to vote for. it's disturbing. #BernieOrBust go to hell #Hillary,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"Prediction: @Milbank says #HillaryClinton won Iowa debate, continues to tower over her opponents; #BernieSanders went negative, looked weak.",Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
"what do JP Morgan, Goldmand Sachs et al expect from Hillary Clinton when they throw money at her? #BernieSanders #HillaryClinton",Hillary Clinton,AGAINST,Bernie Sanders,NONE,Train
"However outlandish @realDonaldTrump is, what scares Reps the most is Trump has NOTHING 2 hide so he doesn't need 2 lie #Hillary2016 #Bernie",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
"@JDBmsnbc @jacobsoboroff Congrats, letting Hillary's little doorknocker lie about #Hillary's college plan making it sound like #Bernies.",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
@TheRevAl #Hillary can't solve racial/social/economic inequality from the country club. She is awful and I hope you consider backing #bernie,Hillary Clinton,FAVOR,Bernie Sanders,NONE,Train
"When asked about her honesty, #HillaryClinton can't figure out why ""they"" are throwing this at her. Answer: Because she lied. #Bernie2016",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
#HillaryClinton says she'll shutdown big business. #BernieSanders does one better he'll shutdown the economy. Destroying #America a goal?,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
Great....market crashing& bombs going off. It's hard 2 be optimistic. When I consider candidates? AGH! Only #Bernie #Hillary2016 #morningjoe,Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
I'll give #Hillary2016 props for taking on the Gun lobby. That's nothing the voices of centrism would advocate. #Bernie2016,Hillary Clinton,FAVOR,Bernie Sanders,NONE,Train
"According to @Thom_Hartmann, it's bad when #Hillary casts bad votes, but when #Bernie does.....eh, it's cool. Another reason I don't listen",Hillary Clinton,NONE,Bernie Sanders,AGAINST,Train
"THEORY: DNC = #HillaryClinton because DNC = cronies. RNC accepts losing, fears #BernieSanders Pres thus all dialogue ""Rep Cand X vs Hillary""",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"@DCSoljaGurl But again #hillary misleading people on what #bernie is saying, not Urban = black people. It is a dumb euphemism anyways.",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
#Bernie wants to get elected so he can address #Climate. #Hillary seems more like she wants to address Climate in order to get elected.,Hillary Clinton,FAVOR,Bernie Sanders,NONE,Train
"#HillaryClinton #BernieSanders 2nd ""debate"" ""Facts"" WRONG AGAIN on gun deaths, income equality, but your LIES always ""fact check"" out.",Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
#Bernie #Hillary2016 #Socialism is just mutually shared poverty for all. But for the elite. They keep their Martha Vinyard compounds.,Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
"great point @CNN when a man raises voice ""he is in control"" #BernieSanders  when a woman races voice ""she is out of control"" #HillaryClinton",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
#BernieSanders debates #HillaryClinton with fear. It's embarrassing to watch. It makes you wonder why he's even running.,Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
#Bernie2016 n #Hillary2016 both agree on a lot. I guess it's more about how they line up their priorities since most r the same. #DemDebate,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
#Bernie sez he and #Hillary are working to defeat right-wing extremism. Meanwhile the country reels from 8 years of left-wing extremism.,Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
Many #democrat voters think that #BernieSanders is a wacko. Then how do they explain that #Hillary voted with him 93% of the time. #tcot #p2,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
So apparently #HillaryClinton can't win squat without the Democratic Party cheating. #BernieSanders was done as soon as they LOST precincts.,Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
been around politics for long time- if #HillaryClinton  & #BernieSanders supporters join forces there is NO WAY we will lose #DemDebate,Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
.@ABswl15 Actually only #Hillary2016 limits subsidy to community colleges only. #Bernie2016's plan includes all public colleges & Us.,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"On MSNBC, GOP guest slammed #HillaryClinton Said Obama's #SOTU a benefit to #BernieSanders Wasn't policy based pro-Bernie just anti-Hillary",Hillary Clinton,AGAINST,Bernie Sanders,NONE,Train
"Given a choice to kill 100 ISIS or 100 white American men, leftist scum would choose the latter. #UniteBlue #nomorerefugees #Bernie #Hillary",Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
This needs to be taken seriously @dtimm53217 these people had given up voting before #Bernie & they just aren't going to vote for #Hillary,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
Seeing more & more complaints that #BernieSanders supporters are being jerks to #HillaryClinton supporters. As a hardcore Bernie supporter..,Hillary Clinton,NONE,Bernie Sanders,FAVOR,Train
Ugh she's such a liar! Who buys this shit? No #Hillary ...I will not vote for you just cause you are a woman and copy #Bernie,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"#HillaryLies chooses to misrepresent the truth, continues lie about #Bernie's position & speaks loud but meaningless talking points.Learn.",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
#Bernie2016 supporters stop hating #Hillary2016. And Hillary supporters stop hating Bernie. They're both excellent candidates.,Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
What the ever loving? #Hillary is a progressive? She wants universal health coverage? Last week she was bashing #Bernie on this very issue,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
Anyone know how long it took BS camp from time Sanders found out (Wed) to when he fired  head staffer? #ImWithHer #Hillary2016  #BernieGate,Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
"Liking #BernieSanders doesn't mean I don't like #HillaryClinton   It's like having 2 BF's , only one is more macho ",Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
Dear @CNN I'm calling you out. You carry a #Hillary event live...word for word but we can't hear #Bernie's words at his events? CNN=EvilCorp,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
Looks like @msnbc & the other pro #HillaryWallSt Tools have played out the 'Socialism is a bad word' gag. Nice try. & #Bernie keeps soaring.,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"I've always said that if #Bernie is counting on men & Millennials, the two least to caucus he'll be left out in the cold. #Hillary2016",Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
Listening to these idiot pundits on @CBS talk about #Hillary like #BernieSanders isn't even running tells me he's really a threat #DemDebate,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
@KingBillyV Debbie's DNC seat is up this election.Expect any less of a corrupt person as to sabotage #Bernie 4 #Hillary B4 being unseated?,Hillary Clinton,NONE,Bernie Sanders,AGAINST,Train
#BernieSanders understands that Wall St. needs to be reigned in. #Hillary would never reinstate Glass-Steagal; Bernie would. #DemDebate,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"Get the economy going, by stealing it's capital. Because jobs grow on magical government trees #Bernie2016 #Hillary2016 #DemDebate",Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
@cnn Erika Andiola slays cnn commentary angling for support of hillary. While #BernieSanders  does #Hillary2016 is more false promises.,Hillary Clinton,AGAINST,Bernie Sanders,NONE,Train
"Ahead of spin doctors / #Bernie got best moments in, #Hillary good per usual, #OMalley good. O'M needed a shift, didn't get it. #DemDebate",Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
"Says it all when moderators directs more complex questions on foreign issues to #Hillary not #Bernie, & Bernie follows up w/""I agree w/her""",Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
#BernieSanders is #HillaryClinton trying to swift boat Bernie by demonizing all his followers because few are aggressive? Like hers aren't?,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
@Salon #Bernie &his cult will find out  just how VT-Progressive Dixie is when they roll into SC where #Hillary will stump a mudhole in him.,Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
I no #Bernie2016 won't attack #Hillary2016 but facts are not attacks. on the board of walmart she never raised min wage n was anti union,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"@sowtrout  The only person that should be bashed repeatedly is #Hillary. She only brings up #Trump, pays no attn to #Sanders or O'Malley.",Hillary Clinton,AGAINST,Bernie Sanders,NONE,Train
#DemTownHall who cares and why are all these events never advertised until seemingly 3 mins before they start- #bernie better than #Hillary,Hillary Clinton,AGAINST,Bernie Sanders,NONE,Train
#socialsupremacism when a business hires someone from yale than someone from a community college #BernieSanders #Hillary2016,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
Alright #Hillary don't go down that road about what #Bernie said about @POTUS in 2011 we dont want video of what you said about him in 07/08,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
So funny that the media is still pretending that #BernieSanders is a serious Dem contender when he's just a foil for #HillaryForPrison,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
"I really think #BernieSanders has a strong chance against #HillaryClinton. If fbi's investigation goes forward, the game over 4 her. Again.",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
Can't wait for post- Iowa/New Hampshire punditry. Poll trends seems to show #Sanders taking em #BernieSanders #HillaryClinton #Bernie2016,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
#DemDebate will #Hillary put forth more great ideas #stolen from #Bernie ?  All her past debate answers have been #whatwouldBerniesay,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
#Iowa make the best choice 4 #America. #Bernie will move #ForwardTogether while #GOP will stall progress some more. #Hillary shud b gramma,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
I think #BernieSanders will edge win #HillaryClinton #IowaCaucus slightly as youth student urban vote will swing much more heavy to him.,Hillary Clinton,NONE,Bernie Sanders,FAVOR,Train
"@AdamSmith_USA: what seems to frustrate the #Hillary crowd is that #Bernie supporters don't care what others say, they think for themselves",Hillary Clinton,NONE,Bernie Sanders,FAVOR,Train
#BernieSanders #Hillary2016 Immoral to tax the future for the benefit of people today. Thats all your policies!  Theft from young to the old,Hillary Clinton,NONE,Bernie Sanders,AGAINST,Train
Raise incomes and benefits! It will increase sales and provide sales tax. And consumers: don't buy crap! #Hillary2016 #BernieSanders,Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
Why does #HillaryClinton have to keep going back to the billionaires for more? Because #BernieSanders is sweeping up all the small donations,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
#BernieSanders' campaign hasn't done anything to #HillaryClinton except impugned her integrity several ways & several times! #nhprimary,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
Do more debates without the dnc approval. Host a Q&A live session on YouTube or another live streaming site. #Bernie2016 #Hillary2016,Hillary Clinton,NONE,Bernie Sanders,FAVOR,Train
@abcnews asked about MiddleClass #BernieSanders & #HillaryClinton give a goal statement; O'Malley talks past performance and a plan forward,Hillary Clinton,NONE,Bernie Sanders,FAVOR,Train
All #Hillary did was try to say she'd basically continue Obama's policies. #Bernie said we need more. We need to take on massive corruption.,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
. @adrianho11 Let's face it: 3 months ago nobody would have thought that #BernieSanders would draw equal with #HillaryClinton! #IowaCaucus,Hillary Clinton,FAVOR,Bernie Sanders,NONE,Train
