Tweet,Target 1,Stance 1,Target 2,Stance 2,Test/Train/Dev
"What we need is robot politicians.  Like a robot #TedCruz saying Israel is awesome, or a robot #Trump2016 to tell us he'll close the border.",Donald Trump,NONE,Ted Cruz,NONE,Train
"maribellezza: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"marian_maio: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
#Hitlers rise exactly like #DonaldTrump #TedCruz blame minorities4 everything build a lg base of racist haters encourage war on Minorities,Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
Make America Great Again!! No Socialist/liberals. Principals that made this country great can make it great again! #Trump2016 #Cruz2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
If #TedCruz comes on strong you #KellyFile people can't wait to take him down.  #Trump2016 You are the GOPe. You will take down #Carson too.,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"#UniteBlue CarolHello1: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"MamaBear4Cruz: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue fireclan55: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"Reuters national online tracking poll of likely #GOP voters: Carson 33, Trump 26, Rubio 10, Cruz 8 #GOP2016 #Trump2016 #Carson2016 #Cruz2016",Donald Trump,NONE,Ted Cruz,NONE,Train
Katy Perry opens for Hillary I will NEVER BUY or SUPPORT her music again. Typical rich airhead!  #Trump2016  #WakeUpAmerica  #CruzVP2016,Donald Trump,NONE,Ted Cruz,FAVOR,Train
.Guess I'll rely on twitter followers for debate updates since there's no online viewing offering.  #Trump2016 #Cruz2016 #USA,Donald Trump,NONE,Ted Cruz,NONE,Train
#CNBCGOPDebate was a nice look at things to come #bencarson #tedcruz #donaldtrump #chrischristie aren't taking crap from liberal moderators.,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
#cncgopdebate have the most inept moderators ever... Only wish they were #smarterthana5thgrader  looking more like #Trump2016 #Cruz2016,Donald Trump,NONE,Ted Cruz,NONE,Train
@megynkelly we've a lot of #StupidVoters thinking #Cruz launched anything after yrs of only promising things before an election #Trump2016,Donald Trump,FAVOR,Ted Cruz,AGAINST,Train
@BigVTN @realDonaldTrump You all did great tonight (except Jeb). Keep focus on Dems & Hillary & problems we care about. #Trump2016 #Cruz2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"You guys don't need no stinkin' mods, just DIY your own dang debates and stream 'em.  Just do it.  #DonaldTrump #BenCarson  #TedCruz  #tcot",Donald Trump,NONE,Ted Cruz,NONE,Train
"The Party Of Liberal Fantasies can't stand people making money, especially off of fantasy football! #CNBCGOPDebate  #Trump2016 #Cruz2016",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"I'm a Trump Warrior, but I will vote for whoever the Republican nominee is. Democrats will not ""Divide and Conquer"" us.#Trump2016 #Cruz2016",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Everyone predicting a #TedCruz & #MarcoRubio primary are way overblowing their prediction. It's a #DonaldTrump + anyone else race,Donald Trump,FAVOR,Ted Cruz,NONE,Train
@rushlimbaugh  #Cruz said yrs ago his life goal was #POTUS so by default he's just another career #Politician to never trust #Trump2016,Donald Trump,FAVOR,Ted Cruz,AGAINST,Train
""" Meanwhile, Harry Reid Obstructs Everything. Has a thing for the Koch brothers. Loves to rub lotion on the Soros. ""  #TedCruz #Trump2016",Donald Trump,NONE,Ted Cruz,NONE,Train
"Nanakin2souls: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
I've been watching politics off & on my entire life! I think I'm qualified to make endorsements! #Trump2016 #Cruz2016 #PresidentialElection,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"watchingfreedom: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue Angelwings55sc: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue wattsjim: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"@HillaryClinton ""shes about as likeable as elective surgery. everytime she speaks an angel shoots a cherub""#hillary2016 #trump2016 #cruz2016",Donald Trump,NONE,Ted Cruz,NONE,Train
"Good luck with Putin, #MarcoRubio, #DonaldTrump, #BenCarson, #TedCruz, #ChrisChristie, & #JebBush when your wimpy asses are afraid of CNBC!",Donald Trump,NONE,Ted Cruz,FAVOR,Train
"#UniteBlue willpow357MAG: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"CatbirdCityPoet: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue NHCruzn: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"#UniteBlue FredTanner1: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
Bill Clinton turned America into a comedy and then Obama turned it into a tragedy. #Trump2016 #TedCruz2016 #Carson2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
IMHO #DonaldTrump and #TedCruz are the only two who can turn this country around.  I would love to see a Trump/Cruz ticket! #tcot #USA1ST,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"Was the lackadaisical response by Obama to ISIS surge across and occupied about 1/3 of Iraq incompetence,or #tcot #pjnet #cruz  #trump2016",Donald Trump,FAVOR,Ted Cruz,NONE,Train
Latest #GOP Prez Candidate Clown Car Popularity Poll: #DonaldTrump #BenCarson #TedCruz #MarcoRubio...ain't that enough to make you barf?,Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
Just gotta say: A #GOP battle that comes down to #MarcoRubio #TedCruz  & #DonaldTrump would be a classic. (assuming #BenCarson flames out).,Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue Superbug1977: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue BrandonJLandry: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue eaaknighterrant: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"The Peace loving BASTARDS at it again.  Obama wants to bring 250,000 of these animals to the US WTF?  #Trump2016  #CruzVP2016  @ILNewsFlash",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"LizEady1: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue Tndude9999Troy: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"mistyblue1230: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
Love when ppl talk shit about me behind a block..love love love it! Fuckin cowards  Oh and #Trump2016 #Carson2016 #Cruz2016   #deznuts2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"#TedCruz makes his move tonight. After #DonaldTrump inevitable steps ankle deep into it & then tries to hose off, #Cruz shuts off the water",Donald Trump,AGAINST,Ted Cruz,FAVOR,Train
"I say #DonaldTrump wins, followed by my fave #MarcoRubio . Was impressed with #TedCruz , maybe vice. Carly annoys me. Ben  Lame.zzz",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"#TedCruz agrees with #DonaldTrump about sending all undocumented immigrants home, hoping for nut job support if Trump implodes! #GOPDebate",Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
"Kasich & Jeb tried double-teaming #DonaldTrump on Immigration..#TedCruz blows them away..""If we support #Amnesty we lose in 2016"" #GOPDebate",Donald Trump,AGAINST,Ted Cruz,FAVOR,Train
Took Obama 7 years to say anything about VA disaster. Vets R dying waiting for Care!  Bastard!   #Trump2016  #CruzVP2016 #WakeUpAmeirca,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"Tired of seeing JebBush commercials. He doesn't have a prayer to win the nomination , much less the presidency. #Rubio #Cruz #Trump2016 ",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Presidential Candidates: Why not give 1% of funds raised to Vets orgs? Show YOUR support for our Vets! #DonaldTrump #JebBush #TedCruz,Donald Trump,NONE,Ted Cruz,NONE,Train
@thehill Now Rubio says we have to deport 'some' people. A day late and now pandering. Sorry Marco. #Trump2016 #Cruz2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
#Trump2016 Does not need asshats on twitter trying to battle people who support freedom and #Cruz2016.  Period.,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Remember when things like a Dean scream would get you kicked out of a Presidential race? #DonaldTrump #BenCarson #TedCruz,Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
"Even though I'm a #Trump supporter, #Cruz just made a very good speech just now on C-Span @ the SunShine Summit. #Trump2016",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"With @tedcruz changing his H1-B stance, this race is gonna change big-time. BYE BYE Carson. This comes down to #Trump2016 vs #Cruz2016",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
So what if #TedCruz's tax plan would cost $16.2 TRILLION? He'll just take #DonaldTrump's idea & force Mexico to pay for it. #p2 #tcot #CINO,Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
Mr Obama. HURRY... HURRY. Let out more GITMO detainees! They could help their buddies in Paris! FOOL!  #tcot #pjnet #cruz #trump2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
The Paris terror attack so Everyone wakeup as this is why #DonaldTrump & #TedCruz is pushing to close the dam borders. I blame #obama!,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Just think Obama & Hillary Just gave 152Billion to the same Muslim Bastards that attacked Paris!  #Trump2016 #CruzVP2016 #WakeUpAmerica,Donald Trump,AGAINST,Ted Cruz,NONE,Train
'France Closes Borders' < Tres Bien! You may want to keep it that way. Let's do same TODAY in USA.  #Trump2016 #TedCruz2016 #ParisAttacks,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Tragic latte Obama's #FSA JV team strikes again.  Go bomb them President Putin. #FoxNews #CNN #ParisAttacks #pegida #DonaldTrump #TedCruz,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
@BernieSanders with everything you're wanting to give away #Libtard we are going to have to sell something! #Rubio2016 #Trump2016 #Cruz2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
In one week ISIS could be done. #Trump2016 #WhiteHouse #MarcoRubio #TedCruz What the hell is wrong with the so-called leaders #ParisAttacks,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Stay ready @tedcruz if @realDonaldTrump continues to fall off massage with unpresidential behavior. #Trump2016 loss is #Cruz2016 gain.,Donald Trump,AGAINST,Ted Cruz,FAVOR,Train
As a leader of the Free World I would BOMB 10 Syrian Government Buildings for EVERY Muslim attack anywhere on the Planet #Trump2016 #CruzVP,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Who are these nut jobs that want Romney to run? He was the RINO who lost to the socialist Obama. Why not call McCain. #Cruz2016 #Trump2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
If you like a Circus please tune to the Democratic Debate/Coronation live right now. Pathetic!  #Trump2016 #CruzVP2016 #WakeUpAmerica,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
OMG Bernie Sanders says in the Debate that the rise of Terrorism is primarily attributed to Global Warming. Such BS #Trump2016 #CruzVP2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"All the Chaos in Paris was DONE by 8 Islam Rats. Imagine the damage 250,000 of these bastards Can Do to the US #Trump2016 #CruzVP2016 ",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
After Friday there are only two people I would trust to get a grasp on this terror and to help save this country. #Trump2016 or #Cruz2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"@jaazee1 ""Takfiri"" refers to the radical Islamic practice of declaring one's enemies to be infidels worthy of death.#pjnet #cruz #trump2016",Donald Trump,NONE,Ted Cruz,NONE,Train
LIBERALS are destroying our Republic with COMPASSION as a weapon. The #DemDebate proved that beyond doubt! #tcot #pjnet #trump2016 #cruz,Donald Trump,NONE,Ted Cruz,NONE,Train
#MTP while you guys talk #ISIS is using paper not email.  When they hit #LONDON and DC #DONALDTRUMP and #TEDCRUZ will be taking over 1/17.,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
New Rule:  no policy proposals about Daesh (ISIS) until you've read a book.  #BenCarson #DonaldTrump #TedCruz #jeb #hannity,Donald Trump,NONE,Ted Cruz,NONE,Train
"Lax, shitty immigration policy is why 9/11 hijackers, Boston bombers, Paris terror etc etc were able to mass murder jihad. #trump2016 #Cruz",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
@HillaryClinton U R a f'n hypocrite. U can't even say these murderers were RADICAL Islamic Muslims shows U R a coward. #Cruz2016 #Trump2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Anyone keeping count as to how many times Obama has been wrong on foreign policy statements or decisions? #Cruz2016 #Trump2016 #Carson2016,Donald Trump,FAVOR,Ted Cruz,NONE,Train
These are the only candidates worth considering for POTUS. More research needed B4 I choose.  #Cruz2016  #Carson2016  #Trump2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"The contrast in tone between President Obama and President Holland is striking. Obama comes off ""Eunuch like"" #tcot #pjnet #trump2016 #cruz",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"Obama has a Strategy?  Well, I guess allowing the Enemy/Islam to Kill, Steal & Destroy is Strategy  #Trump2016 #CruzVP2016 #WakeUpAmerica",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Obama refuses to unleash our full Military capacity against ISIS...because #ISIS would be eradicated. #ParisAttack #Trump2016 #Cruz2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"Kerry: ""We will fight them with blather, we will fight them with twaddle...we'll never surrender."" #ParisAttack #Trump2016 #Cruz2016 #ISIS",Donald Trump,NONE,Ted Cruz,NONE,Train
"Day Dreaming Now  Imagine if we had a Non-Muslim President that Cared for Life, Liberty & the Pursuit of Happiness.  #Trump2016 #CruzVP2016",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"Terrorism, illegal immigration, refugees, budgetary deficits. Time to trust a constitutional expert! #TedCruz #RandPaul #DonaldTrump",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
QUESTION: How to tell if a Syrian refugee is a terrorist?  Obama invites him to a White House dinner.  #ParisAttack #Trump2016 #Cruz2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Trump/Cruz will have to go on their own apology your in 2017: to apologize to the world for Obama! #cruz2016. #trump2016 #trumpcruz,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"If the election were 2day I would vote, Hands Down, for a #DonaldTrump/#TedCruz ticket. If I still believed in the election process that is.",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Trump/Cruz will have to go on their own apology tour in 2017: to apologize to the WORLD for Obama! #cruz2016. #trump2016 #trumpcruz,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"Leaders are calling ISIS ""Daesh"" which could also be translated as Bigot. Why cant we call #Trump2016 or #TedCruz2016 Daesh as well?",Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
"#Trump #Trump2016 #cruz   #Obama is INCAPABLE of BUILDING a coalition under article 5...his petulant, insolent press conf was DISGRACEFUL!!!",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"WHEN PRESIDENT #DONALDTRUMP starts #America becomes the leader. Other than VP #TEDCRUZ everyone especially BUSH, RUBIO, CARSON NO BALLS!",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Tweedle-dee and Tweedle-dum. #DonaldTrump #TedCruz Dream ticket for the White House in 2016. Combined intellect of a dung beetle.,Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
In NIGERIA #BokoHaram bombs Churches when #IslamicExtremism does It here the govt will ignore it #Christians won't! #donaldtrump #TedCruz,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
OUR DEVOUT CHRISTIAN PRESIDENT SEEMS TO BE MORE CONCERNED ABOUT 98% MUSLIM #SyrianRefugees OVER U.S. CHRISTIANS/JEWS #DonaldTrump #TedCruz,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
King of Jordan says that we R at War w ISIS. OBASTARD says attacks ARE workplace violence!  #Trump2016 #CruzVP2016 @DaveCV100 @BlissTabitha,Donald Trump,NONE,Ted Cruz,NONE,Train
"Muslims Boo Moment of Silence for Paris Attacks, Then Chant Allah Akbar We need #Trump2016 & #CruzVP2016 Now!",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
#Hillary needs to unveil a plan that keeps her out of prison. She needn't be concerned with #Syria or foreign policy.  #Trump2016  #Cruz,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
The only way this Radical leftist President will be STOPPED is when Americans die or he is IMPEACHED! #pjnet #tcot #trump2016 #cruz #hannity,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
southern GOPs are un American bigots and #religiousfreaks .. Stop #Trump2016 #Cruz2016 they are anti-Americans hating on innocent Muslims!,Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
jaazee1: jaazee1 He's the friggin Secretary of Defense and grabs his ankles everytime Obama or Valerie calls! #tcot #pjnet #cruz #trump2016,Donald Trump,NONE,Ted Cruz,NONE,Train
If Donald Trump wins the GOP nomination keep your eyes on Ted Cruz for his possible VP running mate. #DonaldTrump #TedCruz,Donald Trump,NONE,Ted Cruz,NONE,Train
I have a feeling that if and when #Trump wins the nomination he will pick #Cruz for VP. It would be a great winning ticket! #Trump2016 #Vets,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Latest #Trump2016 plan: #TedCruz keeps brown nosing @realDonaldTrump and he gets to ride shotgun in #Trump clown car on #GOP ticket.,Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
@thehill They both have myopic perspectives and ideological views opposite of a democratic society. #TedCruz2016 #DonaldTrump,Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
#TedCruz jumping in polls.  Washington elite not pleased.  Not see difference between Cruz n #DonaldTrump.  This not tell something bout DC?,Donald Trump,NONE,Ted Cruz,NONE,Train
So #TedCruz hitched his buggy to the #Trump2016 wagon. Do these guys really represent the views of half the American population?,Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
"#CCOT If trump elected POTUS, Cruz as VPOTUS would insure he's not assassinated by Globalist elite. #Trump2016 #Cruz2016 #JFK #politics",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Thank God it's the weekend so I can forget about all these crazy motherfuckers like #DonaldTrump #BenCarson #TedCruz for a couple of days!,Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
"Israel is our ally and with a President Trump or President Cruz, we'll start acting like it! #Trump2016 #Cruz",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
I can't support Senators that are more loyal to the Liberals then they are to their own party. #Vote4Conservatives #DonaldTrump #TedCruz,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
#TedCruz Rising! Passing #BenCarson and will soon pass ex Democrat #DonaldTrump in polls! Trump not smart enough to be president! A danger!,Donald Trump,AGAINST,Ted Cruz,FAVOR,Train
Takeaways from slew of polls today: Big boost for #DonaldTrump in 3 primary states; huge gain for #TedCruz in IA; big losses for #BenCarson,Donald Trump,NONE,Ted Cruz,NONE,Train
Once again Trump is Right in Bringing Back WaterBoarding. Our next president is a Visionary!  #Trump2016  #CruzVP2016 #ExterminateIslamists,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"Trump and Cruz or Cruz and Trump, either way an unstoppable ticket. Trump eludes to the ticket. Has my support. #Trump2016 #TedCruz #Loveit",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
#Trump and #Cruz together have about 50% of the vote. A dream Team for our future. Sixteen years of greatness. #Trump2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
I'd either want #Trump2016 or #TedCruz2016 . Either person will be a better president than we have currently. #ImpeachObama,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"Bernie says Global Warming causes Terrorism. So, how come it ONLY Affects Muslim Bastards! That heat is Very Selective!  #Trump2016 #CruzVP",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
@politico HOW NAIVE pundits are assuming: a) inevitable #DonaldTrump flame-out.  PEOPLE HEAR HIM. b) people take #TedCruz seriously.,Donald Trump,NONE,Ted Cruz,NONE,Train
"#DonaldTrump is a good man who's been driven mad & stupid by the libs! #TedCruz will have  cabinet job for him, don't worry #PJNET #tcot",Donald Trump,NONE,Ted Cruz,NONE,Train
GOP RINOs banding to Shoot Down Trump! With these Establishment idiots doing All the Dirty Work.Who needs Democraps?  #Trump2016 #CruzVP2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"Hey GOPe, if you manage to destroy Trump will you have time to also destroy Cruz? Cause that would be where I go next #Trump2016 #Cruz2016",Donald Trump,AGAINST,Ted Cruz,FAVOR,Train
@Libertea2012  It's about F'ing time they dump #DonaldTrump  How in the hell is he and #Cruz is leading in Republikkkan polls?  #vote blue,Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
"#TedCruz worried #DonaldTrump might not go away, hypes his racist, misogynist, anti-immigration, and homophobic side: ""I'm fascist too!""",Donald Trump,NONE,Ted Cruz,FAVOR,Train
"Obama is not alone trying to destroy America: the Democrat Party, almost to a man, is fully complicit. #Trump2016 #Cruz2016 #ParisAttack",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"Obama says ""ALLAHU AKBAR"" as he pardons this year's Thanksgiving Turkey!  The Enemy Within!  #Trump2016 #CruzVP2016",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"#TedCruz worried #DonaldTrump might not go away, hypes his racist, misogynist, anti-immigration, and homophobic side- ""I'm fascist too!""",Donald Trump,AGAINST,Ted Cruz,FAVOR,Train
#Trump2016 and #Cruz 2016 with over 50% of the vote looks like a dream team to me. One that cant be stopped #Trump2016,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Told my stupid liberal relatives that I would vote for either #DonaldTrump or #tedcruz. Fuck liberal morons,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
"Former Dem #DonaldTrump is ""the big sucking sound"" being used by the Democrats to suck attention away from rising new frontrunner #TedCruz!",Donald Trump,AGAINST,Ted Cruz,FAVOR,Train
".@JC7109 ""yet the Gang of Eight bill co-sponsored by @MarcoRubio would have tripled this number"",  per article.  #tcot #Cruz2016 #Trump2016",Donald Trump,NONE,Ted Cruz,NONE,Train
"CONCERNING THE REFUGEE THREAT TO AMERICANS, OBAMA IS ""NOT"" DOING WHAT ANY OTHER PRESIDENT WOULD DO. #TRUMP2016 #TedCruz #TRUMP",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
OUR FOUNDING FATHERS WOULD HAVE EXECUTED OBAMA IN HIS FIRST TERM. WHAT HAS OUR NATION BECOME? #TRUMP2016 #TRUMP #OBAMA #TEDCRUZ,Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
HEY PRESIDENT OBAMA; AMERICANS DON'T WANT THE REFUGEES TO COME HERE. PERIOD. CONVERSATION OVER.  #TRUMP2016 #TRUMP #TEDCRUZ #OBAMA,Donald Trump,FAVOR,Ted Cruz,NONE,Train
"#DonaldTrump with mouth and foot disease working for Democrats to shame Republicans! But once Trump is dumped, Ted will #Cruz to Victory!",Donald Trump,AGAINST,Ted Cruz,FAVOR,Train
"#GOP #DonaldTrump #TedCruz #JebBush #MarcoRubio #MikeHuckabee dumber than babies, racist as Lester Maddox, murderous as John Wayne Gacy.",Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
"Obama is ""doubling down"" on his ISIS strategy!? Any 3rd grader knows that 0x0=0. WE HAVE AN ISIOT AS A PRESIDENT. #TRUMP #TRUMP2016 #TEDCRUZ",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
Why haven't  #DonaldTrump  or #TedCruz said that if #PlannedParenthood employess were armed abortion clinic shootings wouldn't happen?,Donald Trump,NONE,Ted Cruz,NONE,Train
